# lamMdRe11	lamMdRe12	lamMdRe13	lamMdRe21	lamMdRe22	lamMdRe23	lamMdRe31	lamMdRe32	lamMdRe33	lamMdIm11	lamMdIm12	lamMdIm13	lamMdIm21	lamMdIm22	lamMdIm23	lamMdIm31	lamMdIm32	lamMdIm33	lamYHd	lam2Yd	mYSd	MYSd	MXM1	MXM2	MXM3
6.702675032614646179e-04	-1.190617645973919038e-03	4.157604944711440877e-05	2.932179171440613685e-01	5.567422615422841850e-04	1.310552482211764210e-03	-1.956402333960173892e-02	1.037822133277012309e-05	4.564115888996045958e-05	2.905354232327306773e-04	4.510262867284522102e-03	-1.574375398806576124e-04	1.440246483247806575e+00	-1.136553749743612624e-04	-2.645126307053402267e-04	2.348386663510226499e-02	5.775400870033296640e-06	-1.023376697816526590e-04	9.871676968666252827e-02	-4.240797750813860879e-03	1.491185128682076311e+03	1.492188126531062153e+03	5.781544261233933639e+02	6.127629843548029385e+02	6.127633087336826065e+02
8.600686758536451038e-01	1.381467235841631926e-02	-3.314390736344780680e-04	-3.144208700824557279e-01	3.239909844516440738e-03	-3.025945709583079189e-04	-2.199500556106931126e-01	8.354057350744713284e-02	1.144468534512838986e-03	1.198978174947024300e+00	-1.017544310019932036e-01	5.208095202655457128e-04	4.884739746716772885e-02	-1.557010145823660820e-03	-3.634607791325851836e-04	-7.539823295829485295e-01	-1.718730995181741439e-01	2.188922654691666865e-04	-2.431920283129461458e-02	-2.262581893633938690e-02	1.719109213836635718e+03	1.718894796639679271e+03	3.149749376915033849e+02	3.430960314589048039e+02	3.435608010607792835e+02
-7.489877823318844344e-03	2.103187607986906765e-02	1.315851459081851971e+00	6.862741662259532046e-04	-1.036393327571970800e-02	3.440837910722185922e-02	3.241731968680824222e-02	2.232592125704073796e-02	4.094054792369742901e-01	2.033610704698774960e-02	-5.161678227655552148e-02	-1.219918663278688059e-01	2.660483465183448564e-03	6.474718654227907058e-03	2.024714687452027623e-02	3.343606065377244686e-03	1.415689150664285745e-01	-3.029372326302928187e-01	-3.956997166818551626e-02	5.590339033798120277e-03	1.433701345120122369e+03	1.433282978449145048e+03	6.280833142694763183e+02	6.285957426579352614e+02	6.742632097065780954e+02
3.912012416591780228e-01	2.267660922839985840e-02	3.507842893701968931e-03	-2.272843214663690988e-03	-2.205376695574976748e-05	9.047229451241775989e-05	6.042427262893586282e-02	9.136499675932212294e-02	-1.093274777746689949e-03	-1.435416938118242891e+00	1.003697514003346059e-02	1.165973599089729701e-03	-3.424519561667846781e-03	-5.944579075506642489e-05	-1.225249564142859521e-04	2.543580054757498335e-02	5.979472013195989439e-04	1.443760854875633486e-02	-3.018223687448951496e-03	1.211360879808639004e-02	2.644103201271948933e+02	2.642372580809221745e+02	9.640702331105505607e+01	1.480283247804067059e+02	1.482325738191352684e+02
9.260414905747331319e-04	3.816349637170085921e-03	5.733939100573745007e-01	1.174065376739583284e-04	8.897173633374778901e-02	4.579835602436131692e-02	1.234776023818313223e-01	-7.832563692729239491e-05	-8.599671786892720826e-03	1.071698481814772593e-03	2.713909547853988330e-02	4.613888929688784724e-01	2.521523476310904796e-04	-1.320645349230832322e-01	1.422455294672499981e-01	-1.470504646617444349e-03	6.327397122790326585e-05	3.287337023418093838e-03	2.277809594218524469e-02	-1.757610516789202826e-01	1.831375614261474766e+03	1.831564111201241985e+03	2.989576283655574116e+02	2.993928380767279691e+02	3.209573315670442639e+02
1.521108797035812058e-05	2.236419308215510855e-04	-6.377000824270587787e-01	4.884569381509510895e-04	-1.192947402657415143e-05	2.513412390161451349e-02	-1.266978191519374400e-04	-2.933078816017651008e-03	-4.566915747799762948e-02	-4.361017711983839254e-05	4.276265308597794359e-04	1.576845804280612717e-01	-1.825983844124286627e-04	1.196451875519124302e-05	8.768052756495302302e-03	2.611633703365028850e-05	-1.333862099922208597e-02	4.391004091080585349e-03	-7.539708461941181661e-02	-9.515150793797197970e-01	1.238153508605230854e+03	1.237230238706684759e+03	5.045998263854375523e+02	5.046256915975228594e+02	5.648488017490233233e+02
-2.424637039853792028e-03	4.735696867546856578e-03	5.538118725457161773e-01	8.165166203378906341e-04	-1.450137978026603928e-03	1.552421364192543320e-03	-1.278042297217781920e-03	-1.315309817520807049e-02	-1.084643382851582794e-01	-3.539127765937367335e-03	1.037729671452044221e-02	-3.568847631851175817e-01	-2.900106203690043733e-04	-1.472969659591033455e-03	1.153986671359554378e-01	2.223494293619167513e-03	1.446173897135803743e-02	-1.200396434015300537e-02	3.294908431080425526e-01	-5.237327105502796558e-03	1.904787496200958685e+03	1.907407397393747033e+03	6.517335756694974407e+02	6.517679589115036833e+02	6.839083467035404738e+02
-1.037483366447690403e-03	-3.495760396316139329e-01	2.510861825969374576e-03	-3.196919755997661063e-03	-3.265240197701787216e-03	6.007111216242629363e-04	1.179417521940626969e-02	9.932503332584283542e-03	-1.627042321893792387e-01	1.073719668145607089e-03	-4.419084813537376144e-01	-9.188603565185129649e-03	2.351636892520603587e-04	-3.156503843306399104e-02	-9.968754556588819765e-05	-3.209737568002637813e-03	2.602998836551612301e-03	-6.023473920580417751e-01	7.188233706471272577e-03	-9.930875834774513869e-03	1.605746756583809201e+03	1.605814602329944137e+03	7.745643009274170936e+02	8.314959993130282783e+02	8.441516728780309222e+02
-1.017619738187400778e-02	4.819159414043643064e-02	4.295438161248641556e-03	-1.120689790149206999e+00	-1.324939566220327157e-03	1.523098395040002465e-04	2.391819838867198847e-04	-4.437003964355898107e-04	6.927256719573877822e-04	-1.614926251011133268e-02	2.843829554846618451e-02	-7.219929244953960691e-03	2.093413721358043655e-01	-2.556033883750440539e-03	4.663608827504394511e-04	-7.206017266128525087e-05	-1.137304487763947456e-04	-1.729298624754970241e-04	-6.577407119803908853e-02	-7.596810685109903552e-03	1.845360328522506279e+03	1.844820042430674675e+03	9.905775646933142298e+02	1.042944165891754437e+03	1.043068051064024758e+03
-8.695013082805349569e-01	-2.076611165114983920e-02	8.720518739802028685e-03	-1.158960074957983769e-02	-1.236044098304695860e+00	1.769601693017911967e-02	1.023785557642047615e-02	5.091361247870198475e-02	9.197958646051039577e-02	-1.072621677562741072e+00	3.267728774920480167e-02	8.453609153230784781e-03	3.981265347187191300e-02	5.795446279662190558e-02	3.754038671507218261e-01	5.756180203581445602e-03	-2.772998816987744253e-02	1.681008627880631601e-01	-4.867050626909268929e-01	-3.497359137151774544e-02	2.266770745973991325e+03	2.263514201581321686e+03	6.715342012287580928e+02	7.760797424499240833e+02	1.157311169746122687e+03
